MS-DRG, MDC, TYPE, MS-DRG Title
132,3,SURG,"Cranial/facial procedures w/o CC/MCC"
133,3,SURG,"Other ear, nose, mouth & throat O.R. procedures w CC/MCC"
134,3,SURG,"Other ear, nose, mouth & throat O.R. procedures w/o CC/MCC"
135,3,SURG,"Sinus & mastoid procedures w CC/MCC"
136,3,SURG,"Sinus & mastoid procedures w/o CC/MCC"
137,3,SURG,"Mouth procedures w CC/MCC"
138,3,SURG,"Mouth procedures w/o CC/MCC"
139,3,SURG,"Salivary gland procedures"
146,3,MED,"Ear, nose, mouth & throat malignancy w MCC"
147,3,MED,"Ear, nose, mouth & throat malignancy w CC"
148,3,MED,"Ear, nose, mouth & throat malignancy w/o CC/MCC"
149,3,MED,"Dysequilibrium"
150,3,MED,"Epistaxis w MCC"
151,3,MED,"Epistaxis w/o MCC"
152,3,MED,"Otitis media & URI w MCC"
153,3,MED,"Otitis media & URI w/o MCC"
154,3,MED,"Nasal trauma & deformity w MCC"
155,3,MED,"Nasal trauma & deformity w CC"
156,3,MED,"Nasal trauma & deformity w/o CC/MCC"
157,3,MED,"Dental & Oral Diseases w MCC"
158,3,MED,"Dental & Oral Diseases w CC"
159,3,MED,"Dental & Oral Diseases w/o CC/MCC"
163,4,SURG,"Major chest procedures w MCC"
164,4,SURG,"Major chest procedures w CC"
165,4,SURG,"Major chest procedures w/o CC/MCC"
166,4,SURG,"Other resp system O.R. procedures w MCC"
167,4,SURG,"Other resp system O.R. procedures w CC"
168,4,SURG,"Other resp system O.R. procedures w/o CC/MCC p y p"
175,4,MED,"Pulmonary embolism w MCC"
176,4,MED,"Pulmonary embolism w/o MCC"
177,4,MED,"Respiratory infections & inflammations w MCC"
178,4,MED,"Respiratory infections & inflammations w CC"
179,4,MED,"Respiratory infections & inflammations w/o CC/MCC"
180,4,MED,"Respiratory neoplasms w MCC"
181,4,MED,"Respiratory neoplasms w CC"
182,4,MED,"Respiratory neoplasms w/o CC/MCC"
183,4,MED,"Major chest trauma w MCC"
184,4,MED,"Major chest trauma w CC"
185,4,MED,"Major chest trauma w/o CC/MCC"
186,4,MED,"Pleural effusion w MCC"
187,4,MED,"Pleural effusion w CC"
188,4,MED,"Pleural effusion w/o CC/MCC"
189,4,MED,"Pulmonary edema & respiratory failure"
190,4,MED,"Chronic obstructive pulmonary disease w MCC"
191,4,MED,"Chronic obstructive pulmonary disease w CC"
192,4,MED,"Chronic obstructive pulmonary disease w/o CC/MCC"
193,4,MED,"Simple pneumonia & pleurisy w MCC"
194,4,MED,"Simple pneumonia & pleurisy w CC"
195,4,MED,"Simple pneumonia & pleurisy w/o CC/MCC"
196,4,MED,"Interstitial lung disease w MCC"
197,4,MED,"Interstitial lung disease w CC"
198,4,MED,"Interstitial lung disease w/o CC/MCC"
199,4,MED,"Pneumothorax w MCC"
200,4,MED,"Pneumothorax w CC"
201,4,MED,"Pneumothorax w/o CC/MCC"
202,4,MED,"Bronchitis & asthma w CC/MCC"
203,4,MED,"Bronchitis & asthma w/o CC/MCC"
204,4,MED,"Respiratory signs & symptoms"
205,4,MED,"Other respiratory system diagnoses w MCC"
206,4,MED,"Other respiratory system diagnoses w/o MCC"
207,4,MED,"Respiratory system diagnosis w ventilator support 96+ hours"
208,4,MED,"Respiratory system diagnosis w ventilator support <96 hours"
215,5,SURG,"Other heart assist system implant"
216,5,SURG,"Cardiac valve & oth maj cardiothoracic proc w card cath w MCC"
217,5,SURG,"Cardiac valve & oth maj cardiothoracic proc w card cath w CC"
218,5,SURG,"Cardiac valve & oth maj cardiothoracic proc w card cath w/o CC/MCC"
219,5,SURG,"Cardiac valve & oth maj cardiothoracic proc w/o card cath w MCC"
220,5,SURG,"Cardiac valve & oth maj cardiothoracic proc w/o card cath w CC"
221,5,SURG,"Cardiac valve & oth maj cardiothoracic proc w/o card cath w/o CC/MCC"
222,5,SURG,"Cardiac defib implant w cardiac cath w AMI/HF/shock w MCC"
223,5,SURG,"Cardiac defib implant w cardiac cath w AMI/HF/shock w/o MCC"
224,5,SURG,"Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC"
225,5,SURG,"Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC"
226,5,SURG,"Cardiac defibrillator implant w/o cardiac cath w MCC"
227,5,SURG,"Cardiac defibrillator implant w/o cardiac cath w/o MCC"
228,5,SURG,"Other cardiothoracic procedures w MCC"
229,5,SURG,"Other cardiothoracic procedures w CC"
230,5,SURG,"Other cardiothoracic procedures w/o CC/MCC"
231,5,SURG,"Coronary bypass w PTCA w MCC"
232,5,SURG,"Coronary bypass w PTCA w/o MCC y yp"
233,5,SURG,"Coronary bypass w cardiac cath w MCC"
234,5,SURG,"Coronary bypass w cardiac cath w/o MCC"
235,5,SURG,"Coronary bypass w/o cardiac cath w MCC"
236,5,SURG,"Coronary bypass w/o cardiac cath w/o MCC"
237,5,SURG,"Major cardiovasc procedures w MCC or thoracic aortic anuerysm repair"
238,5,SURG,"Major cardiovasc procedures w/o MCC"
239,5,SURG,"Amputation for circ sys disorders exc upper limb & toe w MCC"
240,5,SURG,"Amputation for circ sys disorders exc upper limb & toe w CC"
241,5,SURG,"Amputation for circ sys disorders exc upper limb & toe w/o CC/MCC"
242,5,SURG,"Permanent cardiac pacemaker implant w MCC"
243,5,SURG,"Permanent cardiac pacemaker implant w CC"
244,5,SURG,"Permanent cardiac pacemaker implant w/o CC/MCC"
245,5,SURG,"AICD lead & generator procedures"
246,5,SURG,"Perc cardiovasc proc w drug-eluting stent w MCC or 4+ vessels/stents"
247,5,SURG,"Perc cardiovasc proc w drug-eluting stent w/o MCC"
248,5,SURG,"Perc cardiovasc proc w non-drug-eluting stent w MCC or 4+ ves/stents"
249,5,SURG,"Perc cardiovasc proc w non-drug-eluting stent w/o MCC"
250,5,SURG,"Perc cardiovasc proc w/o coronary artery stent or AMI w MCC"
251,5,SURG,"Perc cardiovasc proc w/o coronary artery stent or AMI w/o MCC"
252,5,SURG,"Other vascular procedures w MCC"
253,5,SURG,"Other vascular procedures w CC"
254,5,SURG,"Other vascular procedures w/o CC/MCC"
255,5,SURG,"Upper limb & toe amputation for circ system disorders w MCC"
256,5,SURG,"Upper limb & toe amputation for circ system disorders w CC"
257,5,SURG,"Upper limb & toe amputation for circ system disorders w/o CC/MCC"
258,5,SURG,"Cardiac pacemaker device replacement w MCC"
259,5,SURG,"Cardiac pacemaker device replacement w/o MCC"
260,5,SURG,"Cardiac pacemaker revision except device replacement w MCC"
261,5,SURG,"Cardiac pacemaker revision except device replacement w CC"
262,5,SURG,"Cardiac pacemaker revision except device replacement w/o CC/MCC"
263,5,SURG,"Vein ligation & stripping"
264,5,SURG,"Other circulatory system O.R. procedures"
280,5,MED,"Acute myocardial infarction, discharged alive w MCC"
281,5,MED,"Acute myocardial infarction, discharged alive w CC"
282,5,MED,"Acute myocardia infarction, discharged alive w/o CC/MCC"
283,5,MED,"Acute myocardial infarction, expired w MCC"
284,5,MED,"Acute myocardial infarction, expired w CC"
285,5,MED,"Acute myocardial infarction, expired w/o CC/MCC"
286,5,MED,"Circulatory disorders except AMI, w card cath w MCC"
287,5,MED,"Circulatory disorders except AMI, w card cath w/o MCC"
288,5,MED,"Acute & subacute endocarditis w MCC"
289,5,MED,"Acute & subacute endocarditis w CC"
290,5,MED,"Acute & subacute endocarditis w/o CC/MCC"
291,5,MED,"Heart failure & shock w MCC"
292,5,MED,"Heart failure & shock w CC"
293,5,MED,"Heart failure & shock w/o CC/MCC"
294,5,MED,"Deep vein thrombophlebitis w CC/MCC"
295,5,MED,"Deep vein thrombophlebitis w/o CC/MCC"
296,5,MED,"Cardiac arrest, unexplained w MCC"
297,5,MED,"Cardiac arrest, unexplained w CC"
298,5,MED,"Cardiac arrest, unexplained w/o CC/MCC"
299,5,MED,"Peripheral vascular disorders w MCC p"
300,5,MED,"Peripheral vascular disorders w CC"
301,5,MED,"Peripheral vascular disorders w/o CC/MCC"
302,5,MED,"Atherosclerosis w MCC"
303,5,MED,"Atherosclerosis w/o MCC"
304,5,MED,"Hypertension w MCC"
305,5,MED,"Hypertension w/o MCC"
306,5,MED,"Cardiac congenital & valvular disorders w MCC"
307,5,MED,"Cardiac congenital & valvular disorders w/o MCC"
308,5,MED,"Cardiac arrhythmia & conduction disorders w MCC"
309,5,MED,"Cardiac arrhythmia & conduction disorders w CC"
310,5,MED,"Cardiac arrhythmia & conduction disorders w/o CC/MCC"
311,5,MED,"Angina pectoris"
312,5,MED,"Syncope & collapse"
313,5,MED,"Chest pain"
314,5,MED,"Other circulatory system diagnoses w MCC"
315,5,MED,"Other circulatory system diagnoses w CC"
316,5,MED,"Other circulatory system diagnoses w/o CC/MCC"
326,6,SURG,"Stomach, esophageal & duodenal proc w MCC"
327,6,SURG,"Stomach, esophageal & duodenal proc w CC"
328,6,SURG,"Stomach, esophageal & duodenal proc w/o CC/MCC"
329,6,SURG,"Major small & large bowel procedures w MCC"
330,6,SURG,"Major small & large bowel procedures w CC"
331,6,SURG,"Major small & large bowel procedures w/o CC/MCC"
332,6,SURG,"Rectal resection w MCC"
333,6,SURG,"Rectal resection w CC"
334,6,SURG,"Rectal resection w/o CC/MCC"
335,6,SURG,"Peritoneal adhesiolysis w MCC"
336,6,SURG,"Peritoneal adhesiolysis w CC"
337,6,SURG,"Peritoneal adhesiolysis w/o CC/MCC"
338,6,SURG,"Appendectomy w complicated principal diag w MCC"
339,6,SURG,"Appendectomy w complicated principal diag w CC"
340,6,SURG,"Appendectomy w complicated principal diag w/o CC/MCC"
341,6,SURG,"Appendectomy w/o complicated principal diag w MCC"
342,6,SURG,"Appendectomy w/o complicated principal diag w CC"
343,6,SURG,"Appendectomy w/o complicated principal diag w/o CC/MCC"
344,6,SURG,"Minor small & large bowel procedures w MCC"
345,6,SURG,"Minor small & large bowel procedures w CC"
346,6,SURG,"Minor small & large bowel procedures w/o CC/MCC"
347,6,SURG,"Anal & stomal procedures w MCC"
348,6,SURG,"Anal & stomal procedures w CC"
349,6,SURG,"Anal & stomal procedures w/o CC/MCC"
350,6,SURG,"Inguinal & femoral hernia procedures w MCC"
351,6,SURG,"Inguinal & femoral hernia procedures w CC"
352,6,SURG,"Inguinal & femoral hernia procedures w/o CC/MCC"
353,6,SURG,"Hernia procedures except inguinal & femoral w MCC"
354,6,SURG,"Hernia procedures except inguinal & femoral w CC"
355,6,SURG,"Hernia procedures except inguinal & femoral w/o CC/MCC"
356,6,SURG,"Other digestive system O.R. procedures w MCC"
357,6,SURG,"Other digestive system O.R. procedures w CC"
358,6,SURG,"Other digestive system O.R. procedures w/o CC/MCC"
368,6,MED,"Major esophageal disorders w MCC"
369,6,MED,"Major esophageal disorders w CC j p g"
370,6,MED,"Major esophageal disorders w/o CC/MCC"
371,6,MED,"Major gastrointestinal disorders & peritoneal infections w MCC"
372,6,MED,"Major gastrointestinal disorders & peritoneal infections w CC"
373,6,MED,"Major gastrointestinal disorders & peritoneal infections w/o CC/MCC"
374,6,MED,"Digestive malignancy w MCC"
375,6,MED,"Digestive malignancy w CC"
376,6,MED,"Digestive malignancy w/o CC/MCC"
377,6,MED,"G.I. hemorrhage w MCC"
378,6,MED,"G.I. hemorrhage w CC"
379,6,MED,"G.I. hemorrhage w/o CC/MCC"
380,6,MED,"Complicated peptic ulcer w MCC"
381,6,MED,"Complicated peptic ulcer w CC"
382,6,MED,"Complicated peptic ulcer w/o CC/MCC"
383,6,MED,"Uncomplicated peptic ulcer w MCC"
384,6,MED,"Uncomplicated peptic ulcer w/o MCC"
385,6,MED,"Inflammatory bowel disease w MCC"
386,6,MED,"Inflammatory bowel disease w CC"
387,6,MED,"Inflammatory bowel disease w/o CC/MCC"
388,6,MED,"G.I. obstruction w MCC"
389,6,MED,"G.I. obstruction w CC"
390,6,MED,"G.I. obstruction w/o CC/MCC"
391,6,MED,"Esophagitis, gastroent & misc digest disorders w MCC"
392,6,MED,"Esophagitis, gastroent & misc digest disorders w/o MCC"
393,6,MED,"Other digestive system diagnoses w MCC"
394,6,MED,"Other digestive system diagnoses w CC"
395,6,MED,"Other digestive system diagnoses w/o CC/MCC"
405,7,SURG,"Pancreas, liver & shunt procedures w MCC"
406,7,SURG,"Pancreas, liver & shunt procedures w CC"
407,7,SURG,"Pancreas, liver & shunt procedures w/o CC/MCC"
408,7,SURG,"Biliary tract proc except only cholecyst w or w/o c.d.e. w MCC"
409,7,SURG,"Biliary tract proc except only cholecyst w or w/o c.d.e. w CC"
410,7,SURG,"Biliary tract proc except only cholecyst w or w/o c.d.e. w/o CC/MCC"
411,7,SURG,"Cholecystectomy w c.d.e. w MCC"
412,7,SURG,"Cholecystectomy w c.d.e. w CC"
413,7,SURG,"Cholecystectomy w c.d.e. w/o CC/MCC"
414,7,SURG,"Cholecystectomy except by laparoscope w/o c.d.e. w MCC"
415,7,SURG,"Cholecystectomy except by laparoscope w/o c.d.e. w CC"
416,7,SURG,"Cholecystectomy except by laparoscope w/o c.d.e. w/o CC/MCC"
417,7,SURG,"Laparoscopic cholecystectomy w/o c.d.e. w MCC"
418,7,SURG,"Laparoscopic cholecystectomy w/o c.d.e. w CC"
419,7,SURG,"Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC"
420,7,SURG,"Hepatobiliary diagnostic procedures w MCC"
421,7,SURG,"Hepatobiliary diagnostic procedures w CC"
422,7,SURG,"Hepatobiliary diagnostic procedures w/o CC/MCC"
423,7,SURG,"Other hepatobiliary or pancreas O.R. procedures w MCC"
424,7,SURG,"Other hepatobiliary or pancreas O.R. procedures w CC"
425,7,SURG,"Other hepatobiliary or pancreas O.R. procedures w/o CC/MCC"
432,7,MED,"Cirrhosis & alcoholic hepatitis w MCC"
433,7,MED,"Cirrhosis & alcoholic hepatitis w CC"
434,7,MED,"Cirrhosis & alcoholic hepatitis w/o CC/MCC"
435,7,MED,"Malignancy of hepatobiliary system or pancreas w MCC"
436,7,MED,"Malignancy of hepatobiliary system or pancreas w CC g y p y y p"
437,7,MED,"Malignancy of hepatobiliary system or pancreas w/o CC/MCC"
438,7,MED,"Disorders of pancreas except malignancy w MCC"
439,7,MED,"Disorders of pancreas except malignancy w CC"
440,7,MED,"Disorders of pancreas except malignancy w/o CC/MCC"
441,7,MED,"Disorders of liver except malig,cirr,alc hepa w MCC"
442,7,MED,"Disorders of liver except malig,cirr,alc hepa w CC"
443,7,MED,"Disorders of liver except malig,cirr,alc hepa w/o CC/MCC"
444,7,MED,"Disorders of the biliary tract w MCC"
445,7,MED,"Disorders of the biliary tract w CC"
446,7,MED,"Disorders of the biliary tract w/o CC/MCC"
453,8,SURG,"Combined anterior/posterior spinal fusion w MCC"
454,8,SURG,"Combined anterior/posterior spinal fusion w CC"
455,8,SURG,"Combined anterior/posterior spinal fusion w/o CC/MCC"
456,8,SURG,"Spinal fus exc cerv w spinal curv/malig/infec or 9+ fus w MCC"
457,8,SURG,"Spinal fus exc cerv w spinal curv/malig/infec or 9+ fus w CC"
458,8,SURG,"Spinal fus exc cerv w spinal curv/malig/infec or 9+ fus w/o CC/MCC"
459,8,SURG,"Spinal fusion except cervical w MCC"
460,8,SURG,"Spinal fusion except cervical w/o MCC"
461,8,SURG,"Bilateral or multiple major joint procs of lower extremity w MCC"
462,8,SURG,"Bilateral or multiple major joint procs of lower extremity w/o MCC"
463,8,SURG,"Wnd debrid & skn grft exc hand, for musculo-conn tiss dis w MCC"
464,8,SURG,"Wnd debrid & skn grft exc hand, for musculo-conn tiss dis w CC"
465,8,SURG,"Wnd debrid & skn grft exc hand, for musculo-conn tiss dis w/o CC/MCC"
466,8,SURG,"Revision of hip or knee replacement w MCC"
467,8,SURG,"Revision of hip or knee replacement w CC"
468,8,SURG,"Revision of hip or knee replacement w/o CC/MCC"
469,8,SURG,"Major joint replacement or reattachment of lower extremity w MCC"
470,8,SURG,"Major joint replacement or reattachment of lower extremity w/o MCC"
471,8,SURG,"Cervical spinal fusion w MCC"
472,8,SURG,"Cervical spinal fusion w CC"
473,8,SURG,"Cervical spinal fusion w/o CC/MCC"
474,8,SURG,"Amputation for musculoskeletal sys & conn tissue dis w MCC"
475,8,SURG,"Amputation for musculoskeletal sys & conn tissue dis w CC"
476,8,SURG,"Amputation for musculoskeletal sys & conn tissue dis w/o CC/MCC"
477,8,SURG,"Biopsies of musculoskeletal system & connective tissue w MCC"
478,8,SURG,"Biopsies of musculoskeletal system & connective tissue w CC"
479,8,SURG,"Biopsies of musculoskeletal system & connective tissue w/o CC/MCC"
480,8,SURG,"Hip & femur procedures except major joint w MCC"
481,8,SURG,"Hip & femur procedures except major joint w CC"
482,8,SURG,"Hip & femur procedures except major joint w/o CC/MCC"
483,8,SURG,"Major joint & limb reattachment proc of upper extremity w CC/MCC"
484,8,SURG,"Major joint & limb reattachment proc of upper extremity w/o CC/MCC"
485,8,SURG,"Knee procedures w pdx of infection w MCC"
486,8,SURG,"Knee procedures w pdx of infection w CC"
487,8,SURG,"Knee procedures w pdx of infection w/o CC/MCC"
488,8,SURG,"Knee procedures w/o pdx of infection w CC/MCC"
489,8,SURG,"Knee procedures w/o pdx of infection w/o CC/MCC"
490,8,SURG,"Back & neck proc exc spinal fusion w CC/MCC or disc device/neurostim"
491,8,SURG,"Back & neck proc exc spinal fusion w/o CC/MCC"
492,8,SURG,"Lower extrem & humer proc except hip,foot,femur w MCC"
493,8,SURG,"Lower extrem & humer proc except hip,foot,femur w CC"
494,8,SURG,"Lower extrem & humer proc except hip,foot,femur w/o CC/MCC p p p, ,"
495,8,SURG,"Local excision & removal int fix devices exc hip & femur w MCC"
496,8,SURG,"Local excision & removal int fix devices exc hip & femur w CC"
497,8,SURG,"Local excision & removal int fix devices exc hip & femur w/o CC/MCC"
498,8,SURG,"Local excision & removal int fix devices of hip & femur w CC/MCC"
499,8,SURG,"Local excision & removal int fix devices of hip & femur w/o CC/MCC"
500,8,SURG,"Soft tissue procedures w MCC"
501,8,SURG,"Soft tissue procedures w CC"
502,8,SURG,"Soft tissue procedures w/o CC/MCC"
503,8,SURG,"Foot procedures w MCC"
504,8,SURG,"Foot procedures w CC"
505,8,SURG,"Foot procedures w/o CC/MCC"
506,8,SURG,"Major thumb or joint procedures"
507,8,SURG,"Major shoulder or elbow joint procedures w CC/MCC"
508,8,SURG,"Major shoulder or elbow joint procedures w/o CC/MCC"
509,8,SURG,"Arthroscopy"
510,8,SURG,"Shoulder,elbow or forearm proc,exc major joint proc w MCC"
511,8,SURG,"Shoulder,elbow or forearm proc,exc major joint proc w CC"
512,8,SURG,"Shoulder,elbow or forearm proc,exc major joint proc w/o CC/MCC"
513,8,SURG,"Hand or wrist proc, except major thumb or joint proc w CC/MCC"
514,8,SURG,"Hand or wrist proc, except major thumb or joint proc w/o CC/MCC"
515,8,SURG,"Other musculoskelet sys & conn tiss O.R. proc w MCC"
516,8,SURG,"Other musculoskelet sys & conn tiss O.R. proc w CC"
517,8,SURG,"Other musculoskelet sys & conn tiss O.R. proc w/o CC/MCC"
533,8,MED,"Fractures of femur w MCC"
534,8,MED,"Fractures of femur w/o MCC"
535,8,MED,"Fractures of hip & pelvis w MCC"
536,8,MED,"Fractures of hip & pelvis w/o MCC"
537,8,MED,"Sprains, strains, & dislocations of hip, pelvis & thigh w CC/MCC"
538,8,MED,"Sprains, strains, & dislocations of hip, pelvis & thigh w/o CC/MCC"
539,8,MED,"Osteomyelitis w MCC"
540,8,MED,"Osteomyelitis w CC"
541,8,MED,"Osteomyelitis w/o CC/MCC"
542,8,MED,"Pathological fractures & musculoskelet & conn tiss malig w MCC"
543,8,MED,"Pathological fractures & musculoskelet & conn tiss malig w CC"
544,8,MED,"Pathological fractures & musculoskelet & conn tiss malig w/o CC/MCC"
545,8,MED,"Connective tissue disorders w MCC"
546,8,MED,"Connective tissue disorders w CC"
547,8,MED,"Connective tissue disorders w/o CC/MCC"
548,8,MED,"Septic arthritis w MCC"
549,8,MED,"Septic arthritis w CC"
550,8,MED,"Septic arthritis w/o CC/MCC"
551,8,MED,"Medical back problems w MCC"
552,8,MED,"Medical back problems w/o MCC"
553,8,MED,"Bone diseases & arthropathies w MCC"
554,8,MED,"Bone diseases & arthropathies w/o MCC"
555,8,MED,"Signs & symptoms of musculoskeletal system & conn tissue w MCC"
556,8,MED,"Signs & symptoms of musculoskeletal system & conn tissue w/o MCC"
557,8,MED,"Tendonitis, myositis & bursitis w MCC"
558,8,MED,"Tendonitis, myositis & bursitis w/o MCC"
559,8,MED,"Aftercare, musculoskeletal system & connective tissue w MCC"
560,8,MED,"Aftercare, musculoskeletal system & connective tissue w CC"
561,8,MED,"Aftercare, musculoskeletal system & connective tissue w/o CC/MCC , y"
562,8,MED,"Fx, sprn, strn & disl except femur, hip, pelvis & thigh w MCC"
563,8,MED,"Fx, sprn, strn & disl except femur, hip, pelvis & thigh w/o MCC"
564,8,MED,"Other musculoskeletal sys & connective tissue diagnoses w MCC"
565,8,MED,"Other musculoskeletal sys & connective tissue diagnoses w CC"
566,8,MED,"Other musculoskeletal sys & connective tissue diagnoses w/o CC/MCC"
573,9,SURG,"Skin graft &/or debrid for skn ulcer or cellulitis w MCC"
574,9,SURG,"Skin graft &/or debrid for skn ulcer or cellulitis w CC"
575,9,SURG,"Skin graft &/or debrid for skn ulcer or cellulitis w/o CC/MCC"
576,9,SURG,"Skin graft &/or debrid exc for skin ulcer or cellulitis w MCC"
577,9,SURG,"Skin graft &/or debrid exc for skin ulcer or cellulitis w CC"
578,9,SURG,"Skin graft &/or debrid exc for skin ulcer or cellulitis w/o CC/MCC"
579,9,SURG,"Other skin, subcut tiss & breast proc w MCC"
580,9,SURG,"Other skin, subcut tiss & breast proc w CC"
